GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,,Statement Cov,Branch Cov,CC
JFreeChart,org.jfree.chart.annotations,TextAnnotation,4,239,2,14,2,74,2,24,0,18,,0.983539095,0.875,26
JFreeChart,org.jfree.chart.annotations,XYShapeAnnotation,193,145,14,12,44,40,12,10,3,6,,0.428994083,0.461538462,22
JFreeChart,org.jfree.chart.annotations,AbstractXYAnnotation,61,41,11,5,20,14,11,5,3,5,,0.401960784,0.3125,16
JFreeChart,org.jfree.chart.annotations,AbstractAnnotation,21,83,4,4,7,24,6,9,3,8,,0.798076923,0.5,15
JFreeChart,org.jfree.chart.event,OverlayChangeEvent,0,4,0,0,0,2,0,1,0,1,,1,#DIV/0!,1
JFreeChart,org.jfree.chart.event,ChartChangeEventType,9,39,0,0,0,4,2,2,2,2,,0.8125,#DIV/0!,4
JFreeChart,org.jfree.chart.event,PlotChangeEvent,3,7,0,0,1,3,1,1,1,1,,0.7,#DIV/0!,2
JFreeChart,org.jfree.chart.event,MarkerChangeEvent,0,10,0,0,0,4,0,2,0,2,,1,#DIV/0!,2
JFreeChart,org.jfree.chart.event,TitleChangeEvent,3,7,0,0,1,3,1,1,1,1,,0.7,#DIV/0!,2
JFreeChart,org.jfree.chart.event,AnnotationChangeEvent,3,10,0,0,1,4,1,1,1,1,,0.769230769,#DIV/0!,2
JFreeChart,org.jfree.chart.event,AxisChangeEvent,0,10,0,0,0,4,0,2,0,2,,1,#DIV/0!,2
JFreeChart,org.jfree.chart.event,ChartChangeEvent,12,24,0,0,4,10,3,4,3,4,,0.666666667,#DIV/0!,7
JFreeChart,org.jfree.chart.event,RendererChangeEvent,0,21,0,0,0,8,0,4,0,4,,1,#DIV/0!,4
JFreeChart,org.jfree.chart.event,ChartProgressEvent,21,13,0,0,9,5,6,1,6,1,,0.382352941,#DIV/0!,7
